filename	text
cropped0.jpg	nnn
cropped1.jpg	"n₽uзья"""
cropped2.jpg	#DhРО
cropped3.jpg	пижеловать
cropped4.jpg	КНЕСUBЫM ЧЕК
cropped5.jpg	ПРИХИ
cropped6.jpg	Uwld |
cropped7.jpg	ЁТОЛИЧНЫИ
cropped8.jpg	JUD)
cropped9.jpg	Б8,N1 =68,D0
cropped10.jpg	TURAP
cropped11.jpg	IlЛИ РАСЧЕ]
cropped12.jpg	ПЮРВ KaPTUФUIILHUD
cropped13.jpg	;IUП
cropped14.jpg	Б4 UJU =60,00
cropped15.jpg	TUB;P
cropped16.jpg	ПНЫI РАГЧЕт
cropped17.jpg	CuJE ГРИВНОЙ
cropped18.jpg	N
cropped19.jpg	15,UI =1S ,UЙ
cropped20.jpg	ТШ}HP
cropped21.jpg	ПОЛНЫИ РАСЧЕТ
cropped22.jpg	СТЭЙК
cropped23.jpg	Из ЕВИНИНЫ
cropped24.jpg	1.UUU
cropped25.jpg	198,0U =198 Ul
cropped26.jpg	TUBAF
cropped27.jpg	ПОЛНЧМ РАГЧЕТ
cropped28.jpg	ХЛеб ЧЕРНЫЙ
cropped29.jpg	2 [IDD
cropped30.jpg	7 DD =14 0U
cropped31.jpg	TUBHP
cropped32.jpg	ПОЛНЫЙ РАСЧЕТ
cropped33.jpg	Чай
cropped34.jpg	1 UID
cropped35.jpg	AD.UU =IU UU
cropped36.jpg	TOBHР
cropped37.jpg	ПОЛНЫИ РАСЧЕТ
cropped38.jpg	ИТОГ
cropped39.jpg	=365.00
cropped40.jpg	СУММа без НДС
cropped41.jpg	=365.00
cropped42.jpg	НАЛИЧНКИ
cropped43.jpg	=365.00
cropped44.jpg	ПОЛЧЧЕНО
cropped45.jpg	=365,00
cropped46.jpg	CHU:
cropped47.jpg	ЧСН ДОХОд
cropped48.jpg	ПuльзuваTeльь
cropped49.jpg	БЦЕСТВU € ЧГРАНИЧЕННПЙ ПIВЕТТВЕННЫЕТЬЮ
cropped50.jpg	'РUЗЬЯ
cropped51.jpg	Ндpег:
cropped52.jpg	АБЗЫБЧ,
cropped53.jpg	"""АРХаНГРЛЬЕК"
cropped54.jpg	tlah
cropped55.jpg	ЕЕаВРНЧМ ДВИНЫ, д 22
cropped56.jpg	MBCTD PaCчЕTОВ:
cropped57.jpg	СTUI}ЯЯ
cropped58.jpg	КаСcИP
cropped59.jpg	Xdtlduh   ППВКЕЛНДР
cropped60.jpg	LdИТ #HL:
cropped61.jpg	(lili Ild Iug 8V ,F U
cropped62.jpg	АЗН KKI:
cropped63.jpg	ШБЛП7Ч6ЫЧ1 3
cropped64.jpg	LMЕНЫ
cropped65.jpg	O(Ib|
cropped66.jpg	Hек
cropped67.jpg	[IUNIBR
cropped68.jpg	Ддта ВРВИЯ
cropped69.jpg	[I3,{4.25 14 15
cropped70.jpg	DJwjl:
cropped71.jpg	[JUl
cropped72.jpg	'IuKcKUM
cropped73.jpg	ИНН:
cropped74.jpg	2901292426
cropped75.jpg	PII KKI:
cropped76.jpg	[I062544722637556
cropped77.jpg	#H
cropped78.jpg	"""ЛII1 { IUIIIIU STSNI"
cropped79.jpg	WI
cropped80.jpg	[JNNNIGIZ
cropped81.jpg	#II:
cropped82.jpg	1909387415
